Player,From,To,Fee,Window,Club
Conor Gallagher,Atlético Madrid,Tottenham,£34m,January 2026,Tottenham
George Abbott,Wycombe,Tottenham,Loan Recall,January 2026,Tottenham
Alfie Dorrington,Aberdeen,Tottenham,Loan Recall,January 2026,Tottenham
James Wilson,Hearts,Tottenham,Loan,January 2026,Tottenham
Souza,Santos,Tottenham,£13m,January 2026,Tottenham
Brennan Johnson,Tottenham,Crystal Palace,£35m,January 2026,Tottenham

Jean-Clair Todibo,Nice,West Ham,£25.4m,Summer 2025,West Ham
El Hadji Malick Diouf,Slavia Praha,West Ham,£19m,Summer 2025,West Ham
Kyle Walker-Peters,Southampton,West Ham,Free,Summer 2025,West Ham
Callum Wilson,Newcastle,West Ham,Free,Summer 2025,West Ham
Mads Hermansen,Leicester,West Ham,£18m,Summer 2025,West Ham
Mateus Fernandes,Southampton,West Ham,£38.1m,Summer 2025,West Ham
Soungoutou Magassa,Monaco,West Ham,£14.7m,Summer 2025,West Ham
Igor Julio,Brighton,West Ham,Loan,Summer 2025,West Ham
Lucas Paquetá,West Ham,Flamengo,£36.5m,January 2026,West Ham
Guido Rodríguez,West Ham,Valencia,Undisclosed,January 2026,West Ham
Adama Traoré,West Ham,Fulham,Undisclosed,January 2026,West Ham
Pablo Felipe,Gil Vicente,West Ham,£20m,January 2026,West Ham
Taty Castellanos,Lazio,West Ham,£25.2m,January 2026,West Ham
Axel Disasi,Chelsea,West Ham,Loan,January 2026,West Ham

Fer López,Celta Vigo,Wolves,£19.6m,Summer 2025,Wolves
Jørgen Strand Larsen,Celta Vigo,Wolves,£23m,Summer 2025,Wolves
Jhon Arias,Fluminense,Wolves,£14.7m,Summer 2025,Wolves
David Møller Wolfe,Feyenoord,Wolves,£10m,Summer 2025,Wolves
Jackson Tchatchoua,Hellas Verona,Wolves,£10m,Summer 2025,Wolves
Adam Armstrong,Southampton,Wolves,Undisclosed,January 2026,Wolves
Angel Gomes,Marseille,Wolves,Loan,January 2026,Wolves
Pedro Lima,Porto,Wolves,Loan Recall,January 2026,Wolves
